,_record_id,_latitude,_longitude,number_of_operators,number_of_available_trolleys,serving_customer,maximum_number_of_vehicles_in_the_traffic_jam
0,4408a234-9585-46fe-9b16-96c0faaf6db8,19.05689338,-98.23348947,1.0,1.0,1.0,5.0
1,673cd0e3-7290-4c4d-a57f-096d16b78141,19.05684943,-98.2334839,2.0,1.0,1.0,5.0
2,04e64464-3fbd-4ce1-99d8-5364e1567e8c,19.0596775,-98.2339161,1.0,0.0,1.0,5.0
3,d0a6568d-cf8f-48fd-ad3d-007e79f4ae6b,19.0626948,-98.2285674,1.0,2.0,1.0,5.0
4,eff15823-b1f2-4e82-afb2-2195635d1406,19.0627239,-98.231397,2.0,2.0,1.0,5.0
5,be5a8b55-ad05-4c32-8f62-7e0d20061cfc,19.0593853,-98.232277,2.0,0.6,1.0,5.0
6,9e629bb4-3fad-40b6-bccb-0970d8af1d0a,19.0610519,-98.2314082,1.0,1.0,1.0,5.0
7,8fdc5c5d-9113-4ca1-bb8a-a53b6dc1a65a,19.057338,-98.2243023,3.0,2.0,1.0,5.0
8,94dd77e9-0bf9-483c-983f-df71c4b9f45a,19.057425,-98.2241354,2.0,2.0,1.0,5.0
9,cda7b134-7827-4830-9337-53f46be4f8b4,19.0531093,-98.2297262,3.0,2.0,1.0,5.0
10,4fb92be5-f7f8-40ff-b4fe-d2d1e429ba13,19.0620703,-98.2274024,1.0,1.0,1.0,5.0
11,cbaab095-ad31-4145-804b-ddc218681802,19.0517539,-98.2326791,2.0,0.0,1.0,5.0
12,68b5ecad-36b0-4172-b2b3-43aebd0485ec,19.0529867,-98.2339776,1.0,0.0,1.0,5.0
13,dc61d831-a0d0-448f-92fd-bfc60d449cf6,19.0611275,-98.2255224,1.0,1.0,1.0,5.0
14,3b19bb47-17f0-4d33-aa27-cf6890bacfe5,19.0553701,-98.2301393,1.5,1.0,1.0,5.0
15,7269f28f-ed3a-4c30-841a-11d82e5c0c5f,19.0590599,-98.2282945,1.0,1.0,1.0,5.0
16,2b8a179a-521c-4ee3-a5ef-241fd1972b01,19.0532046,-98.2271538,1.0,0.0,1.0,5.0
17,26c5673b-0e90-44a0-adc5-824be90e7ac4,19.02015966,-98.21704124,2.0,1.0,1.0,5.0
18,3aa26fc8-4373-4387-ac50-4f7b0d417107,19.04588903,-98.20349839,2.0,1.0,1.0,5.0
19,be55ca05-95dc-4215-ad31-e3bc3549320e,19.04531074,-98.19865255,2.0,2.0,1.0,5.0
20,01b3d7bf-80bc-4a18-9ca2-0063a7164ef0,19.018541,-98.21787,1.5,1.0,1.0,5.0
21,5288fd44-2899-4765-9195-3f866d2e6d45,19.04598987,-98.20371095,1.0,1.0,1.0,5.0
22,ced463ec-22a6-4e79-964d-b348817e1098,19.04596103,-98.20364758,1.0,0.0,1.0,5.0
23,d1662ccd-4787-4c38-969a-a9e8a01ad1c2,19.04552902,-98.1941044,1.0,1.0,1.0,5.0
24,9b4fc2c6-6f9d-4a64-99ea-7482533c4536,19.04621108,-98.19373783,1.0,0.0,1.0,5.0
25,1ad48cb6-aed4-47cd-bf9d-526abe05c96a,19.06515002,-98.31301231,3.0,2.0,1.0,5.0
26,d30cea2f-d083-4f94-9858-b3ef0cb6ecab,19.06400941,-98.31154904,1.0,0.0,1.0,5.0
27,fed369a3-9e0e-4c42-acca-200c6dd60a2a,19.06428128,-98.31151052,3.0,2.0,1.0,5.0
28,56aee666-7420-474e-9056-0995e085b806,19.0598333,-98.30646,1.0,1.0,1.0,5.0
29,5f349557-fb6f-4847-be1d-a517f1d78c88,19.0656,-98.31059,2.0,1.0,1.0,5.0
30,cff61d15-ca2d-470f-b660-ae64a9d12615,19.0640329,-98.309745,2.0,2.0,1.0,5.0
