,_record_id,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,2_current_permanent_employees,4_number_permanent_employees_last_year,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,103_number_own_fridges,19_tax_id,145_number_direct_competitors,310_burnout,24_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,269_cash_discount,270_card_extra_charge,271_card_fee,272_card_days_receive_money,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,276_expected_days_informal_credit,35_interest_rate,36_credit_default_rate,38_average_margin_profits,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,66_percentaje_services_income,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,172_supplier_frequency,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,163_number_high_perishable_products,236_whatsapp
137,0abf045f-4b25-43ae-984d-073bb8fc5e9b,19.0706364153,-98.1663859179,0.0,1.0,5.0,,,,1.0,1.9,,,,,,,2.5,,3.1,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,2.5,,,,,,8.6,2790144288.9
138,93727e75-d169-45e5-b047-8488fdebafb0,19.0709173875,-98.1661138874,1.0,3.0,4.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
139,db79adc8-a774-4544-9b08-eb44e8f31a2c,19.0258281,-98.2492535,3.0,1.0,3.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
140,742328d0-525b-42ea-93d2-49d3fe888004,19.02534,-98.24906,2.0,1.1,4.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
141,876f6921-b25d-4cf6-adf3-155c6c149048,19.0196109752,-98.2613523613,1.0,4.0,8.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
142,c3d0c858-a0d1-4569-8239-91fb17410b35,19.0577455954,-98.2224672044,3.0,0.0,4.0,,,,1.6,1.5,,,,,,,2.5,,3.1,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,6.1,2790144288.9
143,316ece52-c3af-47f8-9606-6144a0ae9ed2,19.0576937048,-98.2224884518,3.0,0.0,3.0,,,,1.6,1.5,,,,,,,2.5,,5.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
144,a9219fb8-2b6b-4524-8673-d13e051ac133,19.0598786521,-98.2278537583,4.0,1.0,15.0,,,,1.6,1.5,,,,,,,2.5,,1.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
145,ed0b08bd-8e03-4271-9136-a5f49a4cc435,19.0600482436,-98.2276538391,1.2,2.0,0.0,,,,1.6,1.5,,,,,,,2.5,,3.1,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,6.1,2790144288.9
146,5d581c34-36c6-4585-a99c-deb766e0ea7f,19.0613368025,-98.2285427196,0.0,0.0,14.0,,,,1.0,1.0,,,,,,,2.5,,3.1,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
147,e326e6a0-7462-4157-bad9-7b3ad61b524b,19.0605600821,-98.2275981059,2.0,0.0,6.0,,,,2.0,2.0,,,,,,,2.5,,2.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
148,0ab45eeb-e160-42f4-8fc3-fe32c1abc3b0,19.0599870721,-98.2278379428,0.0,0.0,12.0,,,,1.0,1.0,,,,,,,2.5,,0.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
149,2733a84c-054d-4b36-8150-0b336ce4d761,19.0591967259,-98.2246795332,5.0,0.0,1.0,,,,2.0,2.0,,,,,,,2.5,,4.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
150,4a93fc02-578e-4c24-ab33-c825afe3dc84,19.0561435132,-98.2212986935,0.0,0.0,8.0,,,,0.0,0.0,,,,,,,2.5,,2.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
151,cc7f620d-df41-49c7-9827-8c51e6beb5d1,18.9993095,-98.2749524,4.0,1.0,3.0,,,,1.6,1.5,,,,,,,2.5,,3.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,2790144288.9
152,149bebb8-4180-4485-88ae-cafc642661b2,18.9993582,-98.2750659,4.0,0.0,4.0,,,,2.0,3.0,,,,,,,2.5,,2.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,2790144288.9
153,e9d09b8c-9f31-456f-ad1f-67ce39cd692c,19.019056,-98.2617893,5.0,1.0,1.0,,,,3.0,1.9,,,,,,,2.5,,0.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,15.0,2790144288.9
154,2dfc0c91-c305-4857-aef1-fc67de0c9683,19.0189901,-98.2618157,4.0,0.0,0.0,,,,0.0,0.0,,,,,,,2.5,,5.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,2790144288.9
155,41de9f42-4fd9-4907-ba0c-c1b24517de7a,19.0189553,-98.2619128,1.0,1.0,2.0,,,,2.0,1.9,,,,,,,2.5,,0.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,6.1,2790144288.9
156,57f10a30-202c-40b8-9b32-1cc7c198fc91,19.0189428,-98.261972,1.0,0.0,0.0,,,,2.0,2.0,,,,,,,2.5,,4.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,2790144288.9
157,fb7e9ccb-ef82-4434-8c8f-603f61f9410a,19.0189376,-98.2622459,0.0,0.0,0.0,,,,2.0,2.0,,,,,,,2.5,,4.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,2.5,,,,,,0.0,2790144288.9
158,d8e376d1-6298-449c-9a5b-bc0aa6b16f7b,19.0192176,-98.2625277,0.0,2.0,1.0,,,,3.0,2.0,,,,,,,2.5,,5.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,2790144288.9
159,efef6c98-2662-444d-a8bd-49c9a7d21628,19.0577006737,-98.2225255488,2.0,0.0,1.0,,,,2.0,2.0,,,,,,,2.5,,1.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
160,fe76baca-23b9-4bec-81fd-6d7895c9b7fa,19.0443226704,-98.2003063305,2.0,1.6,13.0,,,,1.0,2.0,,,,,,,2.5,,4.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,2790144288.9
161,1f6fd33a-a89a-4dc5-95bd-03f396e68bf8,19.0201684863,-98.2170385251,0.0,3.0,1.0,,,,0.0,0.0,,,,,,,2.5,,3.1,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,2790144288.9
162,8c0f186a-b9c0-4854-a6e7-c7fefeab9336,19.0347777,-98.2655858,0.0,0.0,0.0,,,,3.0,2.0,,,,,,,2.5,,4.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
163,7c2c3613-be29-4b85-822f-c7fa68b314c3,19.0422064817,-98.1943173767,1.2,3.0,2.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
164,09263630-45e4-499a-ba6e-497c58d7fe09,19.0434026,-98.1947222,0.0,0.0,5.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
165,efe2e285-c67e-4a07-8331-218bc4a7203d,19.0431876,-98.194174,0.0,1.0,7.0,,,,1.6,1.9,,,,,,,2.5,,5.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,2.5,,,,,,0.0,2790144288.9
166,2413f06e-15cc-4a6f-8e83-5224c6824b12,19.0431145635,-98.1940658722,1.0,0.0,5.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
167,962bf5a6-1eff-4874-a627-9cd8e3ca27b4,19.0427938182,-98.1938023854,1.0,5.0,5.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
168,9ff658db-4dc5-48b6-aa0b-5c6668bb6720,19.0428094171,-98.1934387078,3.0,1.0,1.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
169,e88aa9c1-dc8b-4180-99a1-2e0118ad905d,19.042558,-98.193818,0.0,1.0,1.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
170,bf720ff0-3b7d-47ed-ba49-f5d4bfb7293c,19.0428229892,-98.1937349172,1.0,3.0,1.0,,,,2.1,1.9,,,,,,,2.5,,3.8,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,8.6,2790144288.9
